Time (s),Temp (C),Degree of Cure,Cure Rate
463.02,90.219,0.295096566,0.001565938
464.0202,90.2192,0.296649215,0.001568019
465.0198,90.2196,0.298203553,0.001570667
466.02,90.2201,0.299761201,0.001573067
467.0202,90.22,0.301321082,0.001575323
468.0198,90.2205,0.302882591,0.001577912
469.02,90.2205,0.304447439,0.001580338
470.0202,90.2204,0.306014754,0.00158283
471.0198,90.2208,0.307583394,0.001585119
472.02,90.2211,0.309155333,0.001587499
473.0202,90.221,0.310729428,0.001589678
474.0198,90.2214,0.312304677,0.001591797
475.02,90.2216,0.313883048,0.001593995
476.0202,90.2223,0.315463757,0.001596356
477.0198,90.2219,0.317045776,0.001598639
478.02,90.2222,0.318631102,0.001601019
479.0202,90.2226,0.320218863,0.001603478
480.0198,90.2226,0.321807768,0.001605597
481.02,90.223,0.323399862,0.001607854
482.0202,90.2231,0.324994165,0.001610084
483.0198,90.2235,0.326589595,0.001612191
484.02,90.2233,0.328188108,0.001614337
485.0202,90.2237,0.329788843,0.00161658
486.0198,90.224,0.331390792,0.001618778
487.02,90.2239,0.332995737,0.001620832
488.0202,90.2242,0.334602787,0.001622959
489.0198,90.2242,0.336210907,0.001625013
490.02,90.2243,0.337821954,0.001626996
491.0202,90.2243,0.339435094,0.001629109
492.0198,90.2243,0.341049203,0.001631065
493.02,90.2248,0.342666199,0.001633002
494.0202,90.2248,0.344285099,0.001634926
495.0198,90.2252,0.345904919,0.001636837
496.02,90.225,0.347527604,0.001638748
497.0202,90.2254,0.349152149,0.001640626
498.0198,90.2256,0.350777488,0.001642413
499.02,90.2256,0.352405545,0.001644174
500.0202,90.2259,0.354035366,0.001645954
501.0198,90.2256,0.355665907,0.00164767
502.02,90.2256,0.357299118,0.001649378
503.0202,90.2255,0.35893395,0.001651015
504.0198,90.2253,0.360569421,0.001652652
505.02,90.2261,0.362207437,0.001654231
506.0202,90.2261,0.363846977,0.00165577
507.0198,90.226,0.365487037,0.001657289
508.02,90.2263,0.367129541,0.001658763
509.0202,90.2264,0.368773453,0.001660185
510.0198,90.2265,0.370417799,0.00166162
511.02,90.2266,0.372064494,0.001662996
512.0202,90.2262,0.373712552,0.001664372
513.0198,90.2264,0.375360932,0.001665696
514.02,90.2264,0.377011489,0.001666896
515.0202,90.2267,0.378663324,0.001668187
516.0198,90.2267,0.380315357,0.001669387
517.02,90.2266,0.381969517,0.001670535
518.0202,90.2268,0.383624821,0.00167169
519.0198,90.2268,0.385280184,0.001672753
520.02,90.2267,0.386937605,0.001673829
521.0202,90.2263,0.388596035,0.001674846
522.0198,90.2268,0.390254476,0.001675863
523.02,90.2265,0.391914843,0.001676803
524.0202,90.2266,0.393576158,0.001677761
525.0198,90.2271,0.395237317,0.001678609
526.02,90.227,0.39690026,0.001679405
527.0202,90.2271,0.398564101,0.001680311
528.0198,90.2272,0.400227686,0.001681061
529.02,90.227,0.401893045,0.001681844
530.0202,90.227,0.403559088,0.001682535
531.0198,90.2268,0.405224757,0.001683168
532.02,90.2271,0.40689204,0.001683787
533.0202,90.2266,0.408559885,0.001684355
534.0198,90.2271,0.410227246,0.001684877
535.02,90.2271,0.41189606,0.001685333
536.0202,90.2271,0.413565344,0.001685809
537.0198,90.2271,0.415234015,0.001686201
538.02,90.2267,0.416904056,0.001686572
539.0202,90.2269,0.418574426,0.001686905
540.0198,90.2271,0.420244142,0.001687257
541.02,90.2269,0.421915132,0.001687531
542.0202,90.227,0.42358638,0.001687792
543.0198,90.2266,0.425256781,0.001687948
544.02,90.2266,0.426928397,0.001688164
545.0202,90.2267,0.428600174,0.001688327
546.0198,90.2268,0.430271014,0.001688392
547.02,90.2267,0.431942914,0.001688451
548.0202,90.2264,0.433614873,0.001688509
549.0198,90.2267,0.435285828,0.001688509
550.02,90.2266,0.436957761,0.001688483
551.0202,90.2266,0.438629571,0.001688359
552.0198,90.2268,0.440300301,0.001688281
553.02,90.2264,0.441971859,0.001688105
554.0202,90.2264,0.443643275,0.001687961
555.0198,90.2261,0.445313469,0.00168774
556.02,90.2262,0.446984426,0.001687498
557.0202,90.2259,0.448655126,0.001687238
558.0198,90.2256,0.450324461,0.001686872
559.02,90.2258,0.451994521,0.001686592
560.0202,90.2256,0.453664168,0.001686174
561.0198,90.2258,0.455332419,0.001685777
562.02,90.226,0.457001194,0.001685294
563.0202,90.2251,0.458669523,0.001684844
564.0198,90.226,0.460336367,0.001684355
565.02,90.226,0.462003663,0.001683801
566.0202,90.2259,0.463670429,0.001683266
567.0198,90.2255,0.465335518,0.001682581
568.02,90.2257,0.467000993,0.001681961
569.0202,90.2259,0.468665796,0.001681283
570.0198,90.2257,0.470328897,0.001680572
571.02,90.225,0.471992299,0.001679868
572.0202,90.225,0.473654932,0.001679092
573.0198,90.2248,0.475315794,0.001678309
574.02,90.2254,0.47697689,0.00167754
575.0202,90.2249,0.478637166,0.001676711
576.0198,90.225,0.480295588,0.001675844
577.02,90.225,0.481954134,0.001674963
578.0202,90.2252,0.483611801,0.001674077
579.0198,90.2248,0.485267525,0.001673118
580.02,90.2249,0.486923242,0.001672107
581.0202,90.2243,0.488578016,0.001671155
582.0198,90.2244,0.490230791,0.001670137
583.02,90.2243,0.491883518,0.001669087
584.0202,90.2239,0.49353516,0.001667992
585.0198,90.224,0.49518472,0.001666889
586.02,90.224,0.496834089,0.001665696
587.0202,90.2245,0.498482302,0.001664529
588.0198,90.2242,0.50012828,0.00166327
589.02,90.2237,0.501774046,0.001662057
590.0202,90.2236,0.503418623,0.001660857
591.0198,90.2232,0.505060897,0.001659526
592.02,90.2232,0.506702626,0.001657981
593.0202,90.2233,0.508343057,0.00165667
594.0198,90.2231,0.509981142,0.001655294
595.02,90.2227,0.511618796,0.001653865
596.0202,90.2231,0.513255088,0.001652489
597.0198,90.2232,0.514888965,0.001651041
598.02,90.2227,0.516522351,0.001649554
599.0202,90.2228,0.518154238,0.001648041
600.018,90.222,0.519780644,0.001646457
601.02,90.2221,0.521412363,0.001644911
602.022,90.222,0.523042439,0.001643254
603.018,90.2216,0.524661223,0.001641702
604.02,90.2218,0.52628816,0.001640091
605.022,90.2216,0.527913429,0.001638409
606.018,90.2216,0.529527319,0.001636739
607.02,90.2214,0.531149256,0.00163505
608.022,90.221,0.532769265,0.001633106
609.018,90.2212,0.534377619,0.001631124
610.02,90.2208,0.53599383,0.001629278
611.022,90.2206,0.537608307,0.00162753
612.018,90.2207,0.53921131,0.001625698
613.02,90.22,0.540822049,0.001623761
614.022,90.22,0.542430898,0.001621856
615.018,90.2203,0.544027939,0.001619652
616.02,90.2197,0.545632609,0.001617643
617.022,90.2196,0.547235409,0.001615758
618.018,90.2195,0.548826689,0.001613808
619.02,90.2191,0.550425601,0.001611839
620.022,90.219,0.552022423,0.001609732
621.018,90.2194,0.553607658,0.001607678
622.02,90.219,0.555200171,0.001605389
623.022,90.2189,0.556790615,0.001603302
624.018,90.2187,0.558369251,0.001600987
625.02,90.2182,0.559955114,0.001598684
626.022,90.2179,0.561538894,0.001596584
627.018,90.2172,0.563111171,0.001594536
628.02,90.2176,0.564690797,0.001592397
629.022,90.2176,0.566267939,0.001589893
630.018,90.2172,0.567833444,0.001587669
631.02,90.2172,0.569406219,0.001585491
632.022,90.2168,0.570976685,0.001583162
633.018,90.2164,0.572535573,0.001580958
634.02,90.2162,0.574101594,0.001578682
635.022,90.2165,0.575665331,0.00157638
636.018,90.2159,0.577217023,0.00157366
637.02,90.2159,0.578775714,0.001571293
638.022,90.2161,0.580331403,0.001568267
639.018,90.2157,0.581874612,0.001565058
640.02,90.2159,0.583424123,0.001562038
641.022,90.2152,0.584970671,0.001559051
642.018,90.215,0.586505759,0.001556821
